idx,z,x0,mBstar,x1,c,Mabs,MnoDisp
0,0.030175304199321927,0.0017269866687473297,17.410035807034895,-3.9825707922631706,0.08883516055223806,-18.267305362183393,-18.46358652010968
1,0.17119839925399988,0.0001085367731226303,20.412162035972905,-0.22861677085950838,0.1401553711444965,-19.23799436400796,-18.82804594205709
2,0.09765313557130141,0.0006191614498197396,18.51459803934995,3.3310368469877902,0.09352349088519762,-19.81545156922261,-19.472774920689652
3,0.15932347120438883,0.0003471421996691611,19.146437146910795,-1.5512700573156994,-0.32715590679754847,-20.33199805999329,-20.109764583413305
4,0.17666754365530837,0.0001268034885999757,20.24521545959873,-3.082114433863679,-0.10277388429471801,-19.480330089295762,-19.191111202060203
5,0.17744041359787338,0.0002468938703137834,19.516172469219747,1.0595188881300421,-0.27420141886769744,-20.219862930145073,-20.309050898163907
6,0.24830259895677714,0.0001828473185128299,19.839242721159803,1.9412126395736058,-0.3339317678036726,-20.71380883343358,-20.61998158867603
7,0.16567796424184414,3.260420478927012e-05,21.70924569120503,1.2915330313907791,0.39690220229710715,-17.862512622292446,-18.234938611384088
8,0.13336533801409176,0.0005022924444415968,18.74761777001986,-2.6114482613216348,-0.26498602570760843,-20.309577202255504,-19.766188378111153
9,0.02240584550025839,0.013853511779330632,15.14652549598543,-3.448262374606573,-0.2619634810344594,-19.871907311954992,-19.639546634522244
10,0.10074179791814905,0.0004949290359136893,18.764008797364625,-2.887039142495067,-0.25539774118149783,-19.638107079224874,-19.69750802961941
11,0.07551534979738783,0.0003263646998395903,19.21768892478103,-1.964505689057093,0.13981506327007098,-18.521561722818355,-18.58608971992725
12,0.035204278151452294,0.011637776709133242,15.327934969017104,1.6697904351530344,-0.3950638916383624,-20.69213828988928,-20.77387621677424
13,0.0026274520295399783,0.4494677462821603,11.36443764580184,2.22773980065951,0.24663470908881435,-18.967488162303944,-18.83769722026254
14,0.10733628915603104,0.0003719749816354488,19.074653304089836,0.5505645633635332,-0.12323016316070795,-19.47460402032018,-19.763898521032353
15,0.12807363380934983,0.00021323960674014797,19.681103304051643,-2.5218864632872684,-0.02396003825369597,-19.28086987092921,-19.02214645521813
16,0.005563369764513204,0.049731036225515876,13.755124386282798,-1.179950962809639,0.33368404819112707,-18.21067728833858,-18.0873726379347
17,0.14547261807910164,0.0001677403302449103,19.94005258253949,0.5212545133234423,0.02293743792011166,-19.32234659867372,-19.300975014234048
18,0.020180338642619648,0.03985925795519688,13.994212184004876,-1.929127261083753,-0.3938760064046875,-20.79346201284451,-20.266298967552586
19,0.10599325348248281,0.0002166125295643523,19.643526270092465,3.699362274108437,0.2911856944148822,-18.87636398411853,-18.903878823606863
20,0.08166729148008134,0.0004856012488762458,18.787289089615626,-2.4182052491807484,-0.07983342525859821,-19.131171397757814,-19.21204838700143
21,0.20034321407527864,3.561683642931748e-05,21.618749993277962,-1.8568727250357346,0.3072802677643195,-18.410050407911807,-18.075485057982796
22,0.15626514272664851,0.00023716808523001494,19.559388023211117,2.8568529487027705,0.10338702602274974,-19.872903517361923,-19.375427538132975
23,0.10851312410654354,0.0004608795266912789,18.841760831995785,-1.2720537298970331,-0.2067863431548326,-19.73284809291498,-19.771014808977434
24,0.08712170010069524,0.0005873459157189026,18.580225358253163,-0.966824688004829,-0.06229518213216789,-19.48666702884673,-19.360189120392196
25,0.0065115545601411445,0.046814952393231545,13.821022878401639,-2.0897267238020056,0.3362780207807352,-18.488075976436637,-17.951861551436988
26,0.0232760766980907,0.005859088785935182,16.075911599069187,1.8992083069695607,0.2919792269655418,-19.026679127265744,-18.6493663695309
27,0.22206193248970701,0.00022935854384961943,19.59462389977063,2.7582360211484067,-0.21184874234786807,-20.68451044791427,-20.351146245190733
28,0.12768891941875363,0.0003853938803656425,19.03515161333803,-2.2197050160979197,-0.26202547187259695,-19.919756898918607,-19.81173925395437
29,0.06489716671571805,0.00020289947252845244,19.731440670891622,-2.384267217842801,0.25548533617368197,-17.66278094561161,-18.164234119252818
30,0.1979309612370889,5.575886405242981e-05,21.137832753987173,-3.749570388722187,0.028375491152307586,-18.861626036631794,-18.6859894788518
31,0.14046057446115356,4.681061822778338e-05,21.320984632544288,-2.19019164877437,0.3411749371928058,-17.858472580996224,-17.92242504132337
32,0.10026000968324318,0.000635469258821235,18.492270461871584,1.8358491191701702,0.06395390199626155,-19.898750859880895,-19.356267578317556
33,0.16745926304317235,8.950786119621404e-05,20.619386679852635,1.3547098302635447,0.18304248951763236,-18.977933287393647,-18.915089001641046
34,0.04463389166708952,0.004066790424984731,16.4783292723486,0.7643980364277603,-0.02686448960504373,-20.071914746480857,-19.491343357970116
35,0.1843882660134904,0.00032962904690965374,19.202029186547886,1.17967476409168,-0.2822987362200611,-20.62635429783815,-20.351290199967604
36,0.010456197172579349,0.059001722164299095,13.565194706570946,3.4596565672204367,0.11892015112643173,-19.778859384695433,-19.41106156502499
37,0.15598056636550037,0.0001679568466887922,19.938767749790664,0.26877393024402174,0.042100681994495015,-19.48918025765469,-19.20547430945344
38,0.05287000816669501,0.0032553259587677235,16.717173670943648,-3.8483269808645053,-0.32967013077504204,-20.213568985007537,-19.79606876318182
39,0.064724339580913,0.0015597052407119772,17.517400068708387,1.7331515164519766,0.08261384731541377,-19.870782100366952,-19.28331634558019
40,0.10376830613210535,0.0003254499548456409,19.221282152483546,-2.0187605665719506,-0.1164644005526771,-19.249458604230302,-19.382955274014776
41,0.1856036874098855,0.00016290067337559734,19.966601723148816,-0.23330149040322024,-0.34237715343442265,-19.87759796049979,-20.3420596759742
42,0.20603494286853866,2.2170838359177926e-05,22.13042384827282,-1.4117625253379442,0.3838415419811795,-17.96631717762171,-17.897474646173762
43,0.2326666291013166,0.00011648958716073365,20.333054798810547,-2.6796816355172552,-0.31029627174440694,-20.060186030756768,-19.898864568033275
44,0.05734288376148868,0.0011691613057655966,17.83100578432434,1.4783397885069558,-0.036695090738086744,-19.28298009525148,-19.622153460217824
45,0.003373076069342249,0.876477557104536,10.643761357304554,1.513915834366693,-0.04568125783200028,-20.231859424083783,-19.655341685145984
